Id,Victimas,Hora,Lugar,Calle,Longitud,Latitud,Acusado,Año,Mes,Dia,Rol,Victima,Sexo,Edad,Barrio,nombre_comuna,url_imagen
2018-0081,1,6,AVENIDA,CASTANARES AV.,-58.44744156,-34.64567171,MULTIPLE,2018,7,29,PEATON,PEATON,MASCULINO,35,Flores,Flores y Parque Chacabuco,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/c7164f279046a0bb37f9328dcd347e55d47b6df2.png?itok=GYFzbPP1
2018-0082,1,15,AVENIDA,LARRAZABAL,-58.49441273,-34.65869968,CARGAS,2018,8,1,CONDUCTOR,MOTO,FEMENINO,17,Mataderos,"Liniers, Mataderos y Parque Avellaneda",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/5589c912315001f3f7a19839bf796d2783767b2f.png?itok=QCe7VV4Z
2018-0083,1,5,GRAL PAZ,"PAZ, GRAL. AV.",-58.47976785,-34.69153196,CARGAS,2018,8,2,CONDUCTOR,MOTO,MASCULINO,42,Villa Riachuelo,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2018-0084,1,7,AVENIDA,"MOREAU DE JUSTO, ALICIA AV.",-58.36523349,-34.62260331,CARGAS,2018,8,3,PEATON,PEATON,MASCULINO,45,Puerto Madero,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2018-0085,2,18,AVENIDA,ENTRE RIOS AV.,-58.39118948,-34.62704273,PASAJEROS,2018,8,3,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22,San Cristóbal,Balvanera y San Cristóbal,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/343b351e40c4a323fab3ddaf8f1c2828d34c87ef.png?itok=ZqZpI3g5
2018-0085,2,18,AVENIDA,ENTRE RIOS AV.,-58.39118948,-34.62704273,PASAJEROS,2018,8,3,CONDUCTOR,MOTO,MASCULINO,30,San Cristóbal,Balvanera y San Cristóbal,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/343b351e40c4a323fab3ddaf8f1c2828d34c87ef.png?itok=ZqZpI3g5
2018-0086,1,21,AVENIDA,DIRECTORIO AV.,-58.49019551,-34.65015854,PASAJEROS,2018,8,10,PEATON,PEATON,MASCULINO,40,Mataderos,"Liniers, Mataderos y Parque Avellaneda",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/5589c912315001f3f7a19839bf796d2783767b2f.png?itok=QCe7VV4Z
2018-0087,1,19,AVENIDA,PAVON AV.,-58.41644362,-34.63023775,PASAJEROS,2018,8,15,PEATON,PEATON,MASCULINO,75,Boedo,Almagro y Boedo,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/93f26417933372dfb54c2ece0e73564accef311d.png?itok=cgfzuH0k
2018-0088,1,16,GRAL PAZ,"PAZ, GRAL. AV.",-58.50073810,-34.54979510,CARGAS,2018,8,17,CONDUCTOR,MOTO,MASCULINO,42,Saavedra,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/f0f679492cd3cfdbb83bc86e97adfd60447c2c0e.png?itok=tdcNYkov
2018-0089,1,17,AVENIDA,PICHINCHA AV.,-58.39626094,-34.63036565,PASAJEROS,2018,8,17,PEATON,PEATON,MASCULINO,80,Parque Patricios,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/933c5a6cacdc4d8ea65936883b34aea87cc4f116.png?itok=ikhU7v1I
2018-0090,1,10,AVENIDA,27 DE FEBRERO AV.,-58.43284809,-34.67051543,AUTO,2018,8,18,CONDUCTOR,MOTO,MASCULINO,27,Villa Soldati,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2018-0091,1,18,AUTOPISTA,AUTOPISTA PERITO MORENO,-58.52280139,-34.63659934,AUTO,2018,8,19,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23,Liniers,"Liniers, Mataderos y Parque Avellaneda",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/5589c912315001f3f7a19839bf796d2783767b2f.png?itok=QCe7VV4Z
2018-0092,1,8,AVENIDA,CORDOBA AV.,-58.42336930,-34.59774487,AUTO,2018,8,20,CONDUCTOR,MOTO,MASCULINO,23,Villa Crespo,Palermo,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/ca366bf451ac079e3a7e9479fd854338865b2f02.png?itok=B0SZn039
2018-0093,1,8,CALLE,15 DE NOVIEMBRE DE 1889,-58.38691681,-34.63105973,PASAJEROS,2018,8,20,PEATON,PEATON,MASCULINO,24,Constitución,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2018-0094,1,5,CALLE,"SALGUERO, JERONIMO",-58.41169020,-34.58579880,PASAJEROS,2018,8,23,CONDUCTOR,MOTO,MASCULINO,32,Palermo,Palermo,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/ca366bf451ac079e3a7e9479fd854338865b2f02.png?itok=B0SZn039
2018-0095,1,0,AVENIDA,LACARRA AV.,-58.46739825,-34.65117757,AUTO,2018,8,26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,49,Parque Avellaneda,"Liniers, Mataderos y Parque Avellaneda",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/5589c912315001f3f7a19839bf796d2783767b2f.png?itok=QCe7VV4Z
2018-0096,1,22,AUTOPISTA,AUTOPISTA PRESIDENTE H?CTOR J. C?MPORA,-58.44483258,-34.67152226,AUTO,2018,8,31,PEATON,PEATON,MASCULINO,39,Villa Soldati,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2018-0097,1,10,AVENIDA,VARELA AV.,-58.43254025,-34.66128115,OTRO,2018,9,2,CONDUCTOR,AUTO,FEMENINO,35,Villa Soldati,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2018-0098,2,5,GRAL PAZ,"PAZ, GRAL. AV.",-58.47199387,-34.69640164,AUTO,2018,9,9,CONDUCTOR,AUTO,MASCULINO,55,Villa Riachuelo,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2018-0098,2,5,GRAL PAZ,"PAZ, GRAL. AV.",-58.47199387,-34.69640164,AUTO,2018,9,9,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,54,Villa Riachuelo,"Villa Soldati, Villa Riachuelo y Villa Lugano",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/022f0c2fbbfaed41f40def9d75c5b3c91396468a.png?itok=iv4ViNBj
2018-0099,1,14,AVENIDA,RIVADAVIA AV.,-58.46411215,-34.62925068,PASAJEROS,2018,9,12,PEATON,PEATON,MASCULINO,18,Flores,Flores y Parque Chacabuco,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/c7164f279046a0bb37f9328dcd347e55d47b6df2.png?itok=GYFzbPP1
2018-0100,1,10,AVENIDA,"RAWSON DE DELLEPIANE, ELVIRA AV.",-58.36217754,-34.62367156,AUTO,2018,9,20,CONDUCTOR,MOTO,FEMENINO,33,Puerto Madero,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/149e1bd7b6261809120f1a24e8a9ff68c4c2f276.png?itok=0yyi0Fs6
2018-0101,1,0,GRAL PAZ,"PAZ, GRAL. AV.",-58.48098594,-34.54073130,MULTIPLE,2018,9,21,CONDUCTOR,AUTO,MASCULINO,42,Saavedra,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/f0f679492cd3cfdbb83bc86e97adfd60447c2c0e.png?itok=tdcNYkov
2018-0102,1,0,CALLE,FAMATINA,-58.41083404,-34.64640709,AUTO,2018,9,21,CONDUCTOR,MOTO,MASCULINO,20,Parque Patricios,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/933c5a6cacdc4d8ea65936883b34aea87cc4f116.png?itok=ikhU7v1I
2018-0103,1,17,AVENIDA,CASTA?ARES AV.,-58.44609828,-34.64446729,MOTO,2018,9,27,PEATON,PEATON,MASCULINO,1,Flores,Flores y Parque Chacabuco,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/c7164f279046a0bb37f9328dcd347e55d47b6df2.png?itok=GYFzbPP1
2018-0104,1,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,-58.37709334,-34.64035082,MOTO,2018,10,1,CONDUCTOR,MOTO,MASCULINO,22,Barracas,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/933c5a6cacdc4d8ea65936883b34aea87cc4f116.png?itok=ikhU7v1I
2018-0105,1,18,AVENIDA,NAZCA AV.,-58.46963952,-34.63070603,PASAJEROS,2018,10,3,PEATON,PEATON,FEMENINO,56,Flores,Flores y Parque Chacabuco,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/c7164f279046a0bb37f9328dcd347e55d47b6df2.png?itok=GYFzbPP1
2018-0106,1,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",-58.43674281,-34.55161027,MOTO,2018,10,4,CONDUCTOR,MOTO,MASCULINO,27,Belgrano,"Núñez, Belgrano y Colegiales",https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/15650c4cf48c7cd32b063e00f33f1679bb3837ca.png?itok=iXE5u5Cm
2018-0107,1,14,AVENIDA,RIVADAVIA AV.,-58.40596860,-34.61011987,PASAJEROS,2018,10,6,PEATON,PEATON,FEMENINO,62,Balvanera,Balvanera y San Cristóbal,https://buenosaires.gob.ar/sites/default/files/styles/card_img_top/public/media/image/2016/11/10/343b351e40c4a323fab3ddaf8f1c2828d34c87ef.png?itok=ZqZpI3g5
